CSD_code,HOMO_Energy,LUMO_Energy,Polarizability
ZIWQUU,-0.16536,-0.01731,427.873795
LIRBOE,-0.16924,-0.00653,368.246314
XENJUV,-0.23213,-0.09503,346.044202
NEKGEQ,-0.17087,-0.05373,821.415019
AJAMII,-0.11712,-0.0262,544.79972
LAJJEN,-0.26732,-0.15911,391.594202
ZAYWOO,-0.16971,-0.04012,700.114862
TIMZIA,-0.15104,-0.08269,719.909593
NEZDOM,-0.17822,0.00258,415.700644
JARVOQ,-0.11144,0.02237,272.640994
XOJHAG,-0.20323,-0.10025,407.386496
GEYRUA,-0.17408,-0.0318,466.733138
GESDOY,-0.18948,-0.04184,572.512347
QEGMUM,-0.14935,-0.02099,860.788099
HAVMEY,-0.25985,-0.06181,208.295754
AJIJOT,-0.185,-0.10488,701.035724
WEQCIE,-0.20833,-0.06708,339.484435
JABKIG,-0.2223,-0.0224,410.124703
PUPLIX,-0.15598,-0.05179,717.056577
UZERUO,-0.17972,-0.06168,637.616442
NAHFIM,-0.27043,-0.13541,685.954617
NEPPAC,-0.15761,-0.06475,543.870194
GAGLOQ,-0.10694,0.07305,594.350623
IPISAC,-0.1669,-0.04617,621.90476
RAFCIL,-0.34071,-0.32786,317.940907
MOJGOH,-0.16437,-0.00991,352.595387
JASWUW,-0.24941,-0.02111,174.210002
ZIWRAB,-0.16217,-0.02234,469.087546
COMXUY,-0.1742,-0.0753,569.197717
SUBWUJ,-0.16036,-0.01705,601.42197
KIGRUQ,-0.18395,-0.03618,683.415777
TOHMOS,-0.2026,-0.04089,436.174682
BOBXAS,-0.1674,-0.02472,418.582111
SAQBAO,-0.17999,-0.05687,821.961119
QAWKUW,-0.20175,-0.05423,792.815165
ZIDSOX,-0.1777,-0.00581,572.737603
WIXMAS,-0.18886,-0.05255,568.259843
BEPDOR,-0.16277,-0.02718,377.312645
EPONIH,-0.17775,-0.0427,583.738797
BIVJOI,-0.18351,-0.03158,560.560234
ILOJUQ,-0.17568,-0.08096,721.067099
HUQBAX,-0.18416,-0.05628,697.843974
FEBRAH,-0.15261,-0.04695,709.337856
PAKVII,-0.16059,-0.06994,493.062024
KETGOI,-0.16105,-0.02644,365.205143
NADRUF,-0.11157,-0.01437,244.585061
DAFFIA,-0.11492,-0.04152,548.50609
WOHFIL,-0.22249,-0.11161,606.610019
DEZFIA,-0.16141,-0.05728,655.490561
VOGHIK,-0.15692,-0.05286,443.641738
JIJFIR,-0.25524,-0.1782,241.295542
DANXEY,-0.15709,-0.06212,616.631359
BOLNIC,-0.17163,-0.03775,419.336895
VIFREH,-0.16188,-0.03227,289.472672
KILLID,-0.2203,-0.05011,481.501066
HARPUN,-0.18784,-0.00245,604.434204
ZIVKAS,-0.29475,-0.19127,497.219061
ZUNBEP,-0.16867,-0.00225,309.912618
BUDZUX,-0.18153,-0.04774,805.282729
LULZIC,-0.18142,-0.04115,516.191064
HIXHIG,-0.1628,-0.03161,474.9587
XETLUF,-0.19775,-0.03055,711.890104
LOHCOC,-0.1086,0.07124,222.901696
APBNLA,-0.21297,-0.10194,411.30099
OHIGES,-0.16752,-0.00659,585.268822
GAMNIU,-0.19154,-0.05454,366.263261
HUQCEC,-0.15057,-0.04797,727.162923
EGELEI,-0.15887,-0.0516,592.222236
IWASII,-0.15363,-0.0065,403.991488
BIVCAK,-0.18576,-0.0288,319.891299
PUPCEI,-0.17975,-0.03746,346.046632
REKROQ,-0.17555,-0.01029,540.945469
NUGFAW,-0.16069,-0.07137,419.260424
SILWEQ,-0.20144,-0.07967,423.779292
SECGUD,-0.10963,0.10856,258.897859
MUBBAO,-0.16484,-0.0211,260.647653
MOGKAV,-0.28746,-0.16351,319.346649
XOWDOC,-0.24551,-0.13535,399.876106
EGUBIR,-0.19151,-0.08217,642.486384
GIFBON,-0.37626,-0.18346,225.886754
OFUNUZ,-0.16827,-0.02555,371.180158
JINMOJ,-0.16363,-0.02881,354.99171
DOQYOX,-0.23659,-0.14175,772.715381
BICYUJ,-0.17489,-0.16488,538.91667
UCIBEP,-0.20738,-0.096,515.05353
TAHGEQ,-0.15582,-0.02823,580.443074
KELRUP,-0.18377,-0.00709,350.668612
SEBLUH,-0.18254,-0.04402,429.09191
BORQII,-0.16747,-0.098,579.491913
AMAWAM,-0.17335,-0.07467,606.608007
ALIRUJ,-0.34086,-0.18182,343.10114
NOSFEG,-0.17792,-0.02162,293.983284
MOJGIB,-0.15885,-0.0141,348.970525
QOKHUU,-0.18539,-0.05182,463.040875
CIMGIP,-0.1608,-0.01323,468.792932
LURLIU,-0.1858,-0.03397,339.837752
TEZTID,-0.19901,-0.06208,479.536888
BABZAI,-0.16042,-0.02885,377.913258
ODISUS,-0.17363,-0.09873,605.219234
OJODOH,-0.15201,-0.05911,316.027474
REJXIQ,-0.15798,-0.04574,567.676716
LOFNUS,-0.20526,-0.12913,392.106783
LEXFEA,-0.19043,-0.02868,447.473454
POBDIU,-0.20166,-0.03192,736.645512
RIKTUC,-0.17514,-0.04558,757.4371
WEDVAF,-0.16158,-0.04103,399.976733
URIKOX,-0.28009,-0.18991,447.485373
ZOTPED,-0.08814,0.08566,615.268893
POHFIE,-0.18275,-0.02662,495.801572
ZODPAL,-0.17501,0.00422,433.706432
JEKNIX,-0.1626,-0.0118,462.209921
XAVROD,-0.18461,-0.00316,560.115953
EGUBAJ,-0.18867,-0.07067,662.777662
TIWHOX,-0.17796,-0.04774,455.206334
XETKOZ,-0.22079,-0.09354,521.024131
FONRAC,-0.18531,-0.05128,682.840843
KENNAT,-0.18532,-0.01003,606.082094
GIGKOX,-0.18001,-0.01235,598.349983
PIDTED,-0.18615,-0.02423,707.369869
BOGJIR,-0.11148,0.03306,198.260409
ZIWQOO,-0.17092,-0.02642,480.075226
ELEJUA,-0.18879,-0.06145,372.169071
AXACIL,-0.21248,-0.09047,424.310313
HAMYUP,-0.21069,0.02455,265.435728
NIQKII,-0.1455,-0.00548,451.274373
AXACOR,-0.21016,-0.09316,428.137694
DARXUR,-0.16755,-0.0716,428.019669
YUKLIA,-0.26017,-0.12755,327.05452
ZAVPEU,-0.14919,-0.06244,866.884544
AYOZUJ,-0.19814,-0.01286,464.549516
EXIMIH,-0.19602,-0.05231,920.485976
XONDUB,-0.18423,-0.1654,548.436956
CIDCOJ,-0.20991,-0.12239,515.625737
LULFOP,-0.14278,-0.04835,370.005013
YEDSEG,-0.14471,-0.03634,418.457668
NICJAM,-0.14746,-0.04914,616.556501
EHOCUA,-0.15988,-0.05984,508.371588
GELPAP,-0.19929,-0.10304,417.200645
SACDAD,-0.17454,-0.03484,528.757913
IZUQUP,-0.19945,-0.08359,608.107117
GEYROU,-0.17026,-0.04122,465.774391
TAPPOR,-0.13701,-0.01884,290.860865
GEMHEM,-0.19735,-0.02091,595.598217
XIYCUF,-0.18705,-0.03175,447.234225
DISTEG,-0.17028,-0.03633,423.089638
XEBCEN,-0.18477,-0.00136,401.598061
HUHLIF,-0.33621,-0.32715,402.384058
DIFRUI,-0.18987,-0.05179,582.009885
LERYOX,-0.27551,-0.14413,596.770144
JAGJEH,-0.3685,-0.23561,285.996843
RIKCAR,-0.17867,-0.04501,841.616611
WEFMEB,-0.24147,-0.06419,544.225858
ISEZOX,-0.17107,-0.09222,496.140699
DOFPOF,-0.17938,-0.00794,302.150396
ETAVAW,-0.19699,-0.08247,577.508464
DUCVEC,-0.22053,-0.12121,288.57183
YIYXUB,-0.18668,-0.07227,518.992847
OYIYUR,-0.187,-0.03219,529.715674
WISBEI,-0.17429,-0.03648,323.065806
OCELAM,-0.09328,-0.01905,461.192771
KELJOA,-0.16102,-0.09285,543.211701
FEKPUJ,-0.22175,-0.10473,262.332907
ODAFOQ,-0.15812,-0.08432,631.056678
YOPCOV,-0.29365,-0.15489,371.222389
EWALEU,-0.16807,-0.04825,615.138487
PACMEL,-0.14286,-0.03369,430.751417
AFOZAW,-0.17228,-0.02366,340.473301
KOYDOT,-0.16342,-0.07484,444.967719
KIFVAX,-0.22772,-0.08756,432.50795
ANUJAV,-0.16621,-0.04409,762.553608
LASSOQ,-0.18147,-0.01662,421.610678
RIFXEL,-0.18221,-0.03979,419.627598
VEDGUH,-0.16373,-0.01058,667.620092
UHAMUM,-0.18404,-0.01901,556.624986
GASKAO,-0.18256,-0.02107,447.283814
XUMJAR,-0.17102,-0.06223,602.997777
PUNMIU,-0.22626,-0.02478,381.357398
USELEK,-0.21603,-0.07171,534.424765
XOTWEI,-0.28802,-0.13441,964.013279
YOKMUH,-0.09278,0.07465,604.727431
UXEPAP,-0.17569,-0.02311,620.987101
XILCUS,-0.16364,-0.03879,602.763056
IFEHAE,-0.15647,-0.05347,617.501464
AMUKOJ,-0.16689,-0.05072,461.477529
EWALOE,-0.15706,-0.04837,527.30283
WUFTEW,-0.3054,-0.20439,433.428607
LARQED,-0.14008,-0.08253,541.024607
OFUNOT,-0.17027,-0.03189,384.793133
QOFHEA,-0.18796,-0.05474,579.34796
BALTUG,-0.16489,-0.05693,455.644199
ROGGOL,-0.18009,-0.04441,537.634964
DITFOB,-0.2448,-0.10432,277.516049
RIVPUI,-0.14977,-0.04117,610.672475
YAYPAS,-0.16107,-0.05352,439.525584
UBEREA,-0.16582,-0.0759,458.233117
UKAQOM,-0.20406,-0.06681,772.161355
SOXVAF,-0.18807,-0.09678,615.378536
RERSIT,-0.16883,-0.0482,529.877105
ZUXWUK,-0.1764,-0.01964,297.845127
WIZPAZ,-0.17782,-0.05929,589.926414
TUGTEW,-0.1667,-0.0301,523.926906
YUVDEZ,-0.1686,-0.04917,533.19699
PUVVEJ,-0.18784,-0.05418,568.606899
IJAPOZ,-0.18584,-0.02795,283.628465
DANPAL,-0.15849,-0.03992,665.713059
UKAMOJ,-0.18865,-0.07223,481.894246
DOTDOF,-0.22393,-0.07929,568.08742
EWALAQ,-0.14533,-0.05222,565.113423
BEGNAD,-0.14792,-0.06079,884.699578
RIWRIZ,-0.19289,-0.037,812.282476
XITHIS,-0.17199,-0.03268,441.718681
JAPKAP,-0.24227,-0.10239,258.839856
PIXGOT,-0.19249,-0.07026,560.028635
PIWZIG,-0.10596,-0.01597,540.176645
FUPZOG,-0.09331,0.0415,823.346323
LORKOT,-0.15758,-0.07604,867.306359
WEDZIO,-0.33905,-0.15192,237.046804
IZURIE,-0.157,-0.10686,646.557405
BEQPOC,-0.2159,-0.03115,531.010109
WIXLUL,-0.18512,-0.05024,573.689468
MEGFEL,-0.21296,-0.09948,454.12089
OLETEE,-0.1726,0.004,381.507889
SECGOX,-0.08683,-0.07654,213.380667
ADEXEM,-0.19725,-0.05188,460.983704
TUBYUM,-0.31295,-0.17456,579.472849
NADNOX,-0.17478,-0.0454,582.023418
HIBWOG,-0.18954,-0.0607,508.637064
BEHPOW,-0.21989,-0.08091,638.232423
KAYGIB,-0.17916,-0.0212,477.05716
DIDSEQ,-0.17413,-0.04249,361.987159
YUFXUT,-0.19122,-0.04825,382.678829
JOCFAL,-0.18367,-0.06466,500.74216
ZAVZII,-0.13131,-0.0603,834.915683
ABIFUM,-0.21903,-0.02901,362.387988
IXURIC,-0.16299,-0.06692,601.728664
MUFJEE,-0.16489,-0.0783,714.542611
LUSMUJ,-0.16438,-0.04057,626.893257
JOCFEP,-0.18233,-0.06455,547.464014
BALSIT,-0.17916,-0.06206,371.495663
KIBBEF,-0.21544,-0.03018,270.745219
IDENUA,-0.1969,-0.02143,609.343557
KIHTAY,-0.15963,-0.0447,654.623303
PITCEC,-0.17592,-0.05294,532.621411
AFOYEZ,-0.16889,-0.10951,407.707574
CUKMIG,-0.01717,0.0783,372.525212
OVIMAI,-0.17085,-0.06423,375.030168
POMHIK,-0.15547,-0.00863,452.212459
BEQNEQ,-0.10872,0.0979,212.148497
INOJIF,-0.20383,-0.06572,665.582313
AKIVAS,-0.1971,-0.03431,504.084736
EJIZUS,-0.17064,-0.01099,493.16986
ELIZUW,-0.15288,-0.02586,471.61285
VUDDAA,-0.16512,-0.02772,306.771947
ZODMOW,-0.18085,-0.0219,266.832683
COJSIG,-0.16471,-0.07658,662.593241
IZUREA,-0.16571,-0.06983,586.077457
LURLAM,-0.19239,-0.0402,293.270723
RAKJUL,-0.15172,-0.03636,341.105329
MUSSUQ,-0.20336,-0.18621,537.283669
DEZFEW,-0.16795,-0.0642,635.642434
NASLUO,-0.19915,-0.06137,270.187911
TEPSOW,-0.16746,-0.02653,408.322872
ZOCYUO,-0.27834,-0.18034,689.300736
FASYOQ,-0.15764,-0.01858,680.394998
JIYXAQ,-0.1826,-0.0394,239.451748
TEWTEW,-0.18671,-0.05417,587.106638
NIRBOF,-0.15792,-0.05683,433.473747
KIWHII,-0.21524,-0.07528,386.374069
TAMMIE,-0.17889,-0.05256,661.067256
DUHGAO,-0.16853,-0.03825,384.84424
KETFIB,-0.20905,-0.10518,1047.073859
LASSIK,-0.1889,-0.04515,364.600261
XELXEU,-0.17943,-0.01525,645.082955
DIFSET,-0.17299,-0.0884,739.740506
SIBZIO,-0.15059,-0.0728,643.749912
XIPNAN,-0.19139,-0.05513,483.313006
QODQAC,-0.18011,-0.0642,360.491166
YIQMUG,-0.21023,-0.06474,333.912925
YOLTOJ,-0.16313,-0.01557,485.021741
VANPAB,-0.1782,-0.05822,332.285535
RIDROL,-0.2126,-0.06219,561.749147
CIRQEA,-0.30796,-0.15021,364.137621
ITAPID,-0.22035,-0.08488,669.866757
EGANEG,-0.17351,-0.11719,584.826395
DAHMAC,-0.17864,-0.03277,336.046023
SEKRIL,-0.17885,-0.06839,554.902262
SUNNUL,-0.11847,-0.03234,734.513286
GUSRAN,-0.20095,-0.10102,639.870362
YEPMIQ,-0.18162,-0.0426,523.459442
JIYZOG,-0.18018,-0.02546,240.099947
OWIMIR,-0.17996,-0.05229,295.04621
YIZQAB,-0.18631,-0.0208,539.013425
KAPZIM,-0.17758,-0.08559,711.253463
GAJXIZ,-0.21783,-0.10328,303.938487
VOGHOQ,-0.19375,-0.07127,641.128593
RIKCOF,-0.18648,-0.05651,431.203411
TEPZIX,-0.18862,-0.03297,636.374727
WAPYUH,-0.23487,0.0122,205.27855
YEFYEQ,-0.08551,0.07449,291.992775
GIKHEO,-0.34892,-0.20167,269.297359
LURLEQ,-0.18627,-0.03538,328.164085
RIKYUH,-0.15191,-0.10561,428.50762
XILDAZ,-0.17438,-0.06015,565.259003
RIKMAB,-0.16678,-0.07036,548.68464
EFEZOG,-0.17693,-0.05716,670.055613
OJOFAV,-0.16534,-0.04999,354.053951
CUJQEF,-0.20906,-0.0452,662.285336
COJQUQ,-0.16451,-0.06142,675.261474
RILGOK,-0.16431,-0.07105,670.508153
TUKZUV,-0.19813,-0.06794,742.347381
BALRIS,-0.1812,-0.05527,400.755965
OGIHOD,-0.18664,-0.00659,403.754827
YICXOY,-0.16788,-0.02976,496.002946
TROPSC,-0.2006,-0.07872,282.080343
XIQJUC,-0.18253,-0.06116,495.188083
ROMLEM,-0.23159,-0.1475,435.467041
DIFSIX,-0.17942,-0.0754,723.784894
NAJXOL,-0.17622,-0.06284,393.312288
KOHCIW,-0.16008,-0.05459,623.701876
ABARAX,-0.22967,-0.05217,440.333071
RACJAH,-0.19433,-0.08825,583.676761
MUBNEE,-0.18429,-0.02474,679.607436
UXEPIX,-0.16798,-0.03087,571.289138
XEMNUY,-0.21052,-0.09302,292.228502
SIWGIO,-0.18658,-0.04146,296.560645
XIXDIT,-0.18985,-0.0369,364.623256
ROHBOG,-0.15329,-0.07968,810.439627
EBILAC,-0.22752,-0.05662,507.80138
PETBEY,-0.17152,-0.0498,554.842804
MUQLIV,-0.13945,-0.0413,744.170144
OHOZER,-0.16837,-0.05801,605.963578
YINNIS,-0.1496,0.01927,289.462421
MUQLAN,-0.16402,-0.041,538.407272
BACBAJ,-0.15961,0.00387,436.687161
IGEDED,-0.17301,-0.04573,338.861179
QEFSAY,-0.13573,-0.05274,712.586722
ACOGOR,-0.22118,-0.02003,762.115326
NAXTIS,-0.14116,-0.06834,650.275834
EGUCIS,-0.19305,-0.07845,839.0892
HBTHFY,-0.26212,-0.05654,261.600875
RIPSEP,-0.17816,-0.0079,287.445231
XAVDAC,-0.16275,-0.05812,645.351794
SUYMOP,-0.19922,-0.103,390.99975
ZOCBUQ,-0.15616,-0.05121,724.165239
YAYNUK,-0.16036,-0.03957,431.13255
ZIQXIG,-0.24088,-0.10185,364.661312
RUXTIP,-0.1708,-0.06403,673.007831
XUMJEV,-0.18752,-0.05804,632.945129
AFUFIQ,-0.17565,-0.07487,519.758971
TUVCET,-0.22246,-0.0618,605.465823
KILKUO,-0.186,-0.05454,464.533322
CESHUF,-0.18111,-0.0051,628.179458
BOBJUY,-0.14793,-0.03706,349.396957
YIYTUW,-0.17996,-0.03781,449.139664
ZERWAX,-0.15875,-0.00522,313.729256
DIVVEK,-0.17298,-0.06573,401.398339
CURVER,-0.15707,-0.05553,455.860002
OGANOC,-0.184,-0.05749,253.037692
ROJLOS,-0.1941,-0.02788,425.439332
LASSEG,-0.19078,-0.05671,358.980589
MALXAY,-0.19193,-0.06199,616.438609
MOMKOP,-0.16901,-0.08103,565.678072
HITGUP,-0.16858,-0.01769,710.097073
KOCCIR,-0.1749,-0.05674,513.368847
OFEGIP,-0.31791,-0.19258,525.262366
OBIZUX,-0.18753,-0.12856,1032.145027
JAMPIX,-0.20154,-0.01814,511.456145
ESIGUJ,-0.19516,-0.04,745.861935
QEGMAS,-0.15407,-0.02145,793.008602
GIZWIX,-0.18267,-0.0525,577.587063
LECZIF,-0.12125,-0.03623,543.828243
UGUBEE,-0.21477,-0.03929,676.366997
DUDRAW,-0.11092,0.00267,533.754783
OYIYIF,-0.20105,-0.03783,564.382236
